Ano,Indice
2024,315.605
2023,306.746
2022,296.797
2021,278.802
2020,260.474
2019,256.974
2018,251.233
2017,246.524
2016,241.432
2015,236.525
2014,234.812
2013,233.049
2012,229.601
2011,225.672
2010,219.179
2009,215.949
2008,210.228
2007,210.036
2006,201.800
2005,196.800
2004,190.300
2003,184.300
2002,180.900
2001,176.700
2000,174.000
1999,168.300
1998,163.900
1997,161.300
1996,158.600
1995,153.500
1994,149.700
1993,145.800
1992,141.900
1991,137.900
1990,133.800
1989,126.100
1988,120.500
1987,115.400
1986,110.500
1985,109.300
1984,105.300
1983,101.300
1982,97.600
1981,94.000
1980,86.300
1979,76.700
1978,67.700
1977,62.100
1976,58.200
1975,55.500
1974,51.900
1973,46.200
1972,42.500
1971,41.100
1970,39.800
1969,37.700
1968,35.500
1967,33.900
1966,32.900
1965,31.800
1964,31.200
1963,30.900
1962,30.400
1961,30.000
1960,29.800
1959,29.400
1958,28.900
1957,28.400
1956,27.600
1955,26.800
1954,26.700
1953,26.900
1952,26.700
1951,26.500
1950,25.000
1949,23.600
1948,24.100
1947,23.400
1946,21.500
1945,18.200
1944,17.800
1943,17.400
1942,16.900
1941,15.500
1940,14.100
1939,14.000
1938,14.000
1937,14.400
1936,14.000
1935,13.800
1934,13.400
1933,13.200
1932,13.100
1931,14.600
1930,16.100
1929,17.200
1928,17.100
1927,17.300
1926,17.700
1925,17.900
1924,17.300
1923,17.300
1922,16.900
1921,17.300
1920,19.400
1919,18.900
1918,16.500
1917,13.700
1916,11.600
1915,10.300
1914,10.100
1913,10.000